,skootar_id,normal_job,car_night,rbh_night,skt_job,night,full_time,purchasing_service,cheque_collecting,promptpay,pay_lte_100,need_food_box,doc_processing,schedule,level
9561,SA2330,165,165,4,0,0,0,0,0,0,0,0,0,0,0.0
9562,SA1513,120,120,0,0,0,0,0,0,0,0,0,0,0,0.0
9563,SD9995,17,17,0,0,0,0,0,0,0,0,0,0,0,0.0
9564,SD2121,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
9565,SB2794,268,268,3,0,0,0,0,0,0,0,0,0,0,0.0
9566,SC1620,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0
9567,SD7857,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9568,SA7236,50,50,28,0,0,0,0,0,0,0,0,0,0,0.0
9569,SA0174,12,12,0,0,0,0,0,0,0,0,0,0,0,0.0
9570,SD2205,14,14,4,0,0,0,0,0,0,0,0,0,0,0.0
9571,SB9435,85,85,20,0,0,0,0,0,0,0,0,0,0,0.0
9572,SB2408,27,27,6,0,0,0,0,0,0,0,0,0,0,0.0
9573,SD9591,121,121,1,0,0,0,0,0,0,0,0,0,0,0.0
9574,SA6851,79,79,1,0,0,0,0,0,0,0,0,0,0,0.0
9575,SD8960,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0
9576,SA9678,259,259,11,0,0,0,0,0,0,0,0,0,0,0.0
9577,SA9544,48,48,0,0,0,0,0,0,0,0,0,0,0,0.0
9578,SD4852,166,166,0,0,0,0,0,0,0,0,0,0,0,0.0
9579,SC2916,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0
9580,SA4700,120,120,1,0,0,0,0,0,0,0,0,0,0,0.0
9581,SA5670,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9582,SA9630,28,28,10,0,0,0,0,0,0,0,0,0,0,0.0
9583,SA6378,38,38,0,0,0,0,0,0,0,0,0,0,0,0.0
9584,SA7019,29,29,0,0,0,0,0,0,0,0,0,0,0,0.0
9585,SB7650,75,75,0,0,0,0,0,0,0,0,0,0,0,0.0
9586,SA4275,252,252,3,0,0,0,0,0,0,0,0,0,0,0.0
9587,SA8154,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9588,SD4816,13,13,0,0,0,0,0,0,0,0,0,0,0,0.0
9589,SD4302,288,288,61,0,0,0,0,0,0,0,0,0,0,0.0
9590,SD6924,42,42,3,0,0,0,0,0,0,0,0,0,0,0.0
9591,SD9528,9,9,0,0,0,0,0,0,0,0,0,0,0,0.0
9592,SD1501,249,249,4,0,0,0,0,0,0,0,0,0,0,0.0
9593,SB4214,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0
9594,SB9018,10,10,1,0,0,0,0,0,0,0,0,0,0,0.0
9595,SA2781,32,32,16,0,0,0,0,0,0,0,0,0,0,0.0
9596,SA8446,375,375,7,1,0,0,0,0,0,0,0,0,0,0.0
9597,SD1872,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0
9598,SC2970,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9599,SA0815,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0
9600,SA2745,21,21,2,0,0,0,0,0,0,0,0,0,0,0.0
9601,SB9838,18,18,0,0,0,0,0,0,0,0,0,0,0,0.0
9602,SD0427,61,61,1,0,0,0,0,0,0,0,0,0,0,0.0
9603,SB9289,165,165,39,0,0,0,0,0,0,0,0,0,0,0.0
9604,SB2900,52,52,12,0,0,0,0,0,0,0,0,0,0,0.0
9605,SC2664,43,43,0,0,0,0,0,0,0,0,0,0,0,
9606,SD2197,6,6,0,0,0,0,0,0,0,0,0,0,0,0.0
9607,SD2471,120,120,2,0,0,0,0,0,0,0,0,0,0,0.0
9608,SC2899,13,13,0,0,0,0,0,0,0,0,0,0,0,0.0
9609,SA8454,17,17,1,0,0,0,0,0,0,0,0,0,0,0.0
9610,SE0963,305,305,9,0,0,0,0,0,0,0,0,0,0,0.0
9611,SE0983,274,274,0,0,0,0,0,0,0,0,0,0,0,0.0
9612,SE1508,122,122,13,0,0,0,0,0,0,0,0,0,0,0.0
9613,SE1160,396,396,0,0,0,0,0,0,0,0,0,0,0,0.0
9614,SE1134,102,102,0,0,0,0,0,0,0,0,0,0,0,0.0
9615,SA6856,222,222,41,3,0,0,0,0,0,1,1,0,1,0.0
9616,SE1355,222,222,43,0,0,0,0,0,0,0,0,0,0,0.0
9617,SE0953,243,243,2,0,0,0,0,0,0,0,0,0,0,0.0
9618,SE0458,82,82,5,0,0,0,0,0,0,0,0,0,0,0.0
9619,SE0531,463,463,0,0,0,0,0,0,0,0,0,0,0,0.0
9620,SB5695,232,232,0,0,0,0,0,0,0,0,0,0,0,0.0
9621,SE0989,437,437,1,0,0,0,0,0,0,0,0,0,0,0.0
9622,SE0894,21,21,3,0,0,0,0,0,0,0,0,0,0,0.0
9623,SA5585,155,155,11,0,0,0,0,0,0,0,0,0,0,0.0
9624,SD7269,351,351,8,0,0,0,0,0,0,0,0,0,0,0.0
9625,SE0655,60,60,12,0,0,0,0,0,0,0,0,0,0,0.0
9626,SB3126,706,706,17,0,0,0,0,0,0,0,0,0,0,1.0
9627,SE0795,225,225,13,26,0,0,1,0,0,8,18,0,15,0.0
9628,SE0696,11,11,1,0,0,0,0,0,0,0,0,0,0,0.0
9629,SE0708,366,366,15,0,0,0,0,0,0,0,0,0,0,1.0
9630,SA1535,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
9631,SE0914,358,358,0,0,0,0,0,0,0,0,0,0,0,0.0
9632,SE1168,16,16,6,0,0,0,0,0,0,0,0,0,0,0.0
9633,SA8393,677,677,10,0,0,0,0,0,0,0,0,0,0,1.0
